year,qtr,cbsa,low,high
1999,1,28140,.51,1.02
1999,1,28420,1.25,1.35
1999,1,28660,1.47,1.61
1999,1,28700,1.02,1.14
1999,1,28740,1.35,1.47
1999,1,28940,1.14,1.25
1999,1,29020,.51,1.02
1999,1,29100,.51,1.02
1999,1,29180,.51,1.02
1999,1,29200,1.02,1.14
1999,1,29340,.51,1.02
1999,1,29420,2.06,2.51
1999,1,29460,1.25,1.35
1999,1,29540,1.02,1.14
1999,1,29620,1.02,1.14
1999,1,29700,.51,1.02
1999,1,29740,1.47,1.61
1999,1,29820,1.35,1.47
1999,1,29940,1.14,1.25
1999,1,30020,1.35,1.47
1999,1,30140,1.25,1.35
1999,1,30300,1.02,1.14
1999,1,30340,1.02,1.14
1999,1,30460,.51,1.02
1999,1,30620,.51,1.02
1999,1,30700,.51,1.02
1999,1,30780,.51,1.02
1999,1,30860,1.35,1.47
1999,1,30980,1.02,1.14
1999,1,31020,1.61,1.79
1999,1,31080,1.47,1.61
1999,1,31140,.51,1.02
1999,1,31180,.51,1.02
1999,1,31340,1.14,1.25
1999,1,31420,1.02,1.14
1999,1,31460,1.47,1.61
1999,1,31540,.51,1.02
1999,1,31700,1.02,1.14
1999,1,31740,1.02,1.14
1999,1,31860,.51,1.02
1999,1,31900,1.02,1.14
1999,1,32580,.51,1.02
1999,1,32780,1.61,1.79
1999,1,32820,1.02,1.14
1999,1,32900,1.79,2.06
1999,1,33100,1.47,1.61
1999,1,33140,1.02,1.14
1999,1,33220,1.14,1.25
1999,1,33260,1.02,1.14
1999,1,33340,.51,1.02
1999,1,33460,1.02,1.14
1999,1,33540,1.14,1.25
1999,1,33660,.51,1.02
1999,1,33700,1.61,1.79
1999,1,33740,.51,1.02
1999,1,33780,1.61,1.79
1999,1,33860,1.02,1.14
1999,1,34060,.51,1.02
1999,1,34100,1.25,1.35
1999,1,34580,1.47,1.61
1999,1,34620,.51,1.02
1999,1,34740,.51,1.02
1999,1,34820,1.79,2.06
1999,1,34900,1.61,1.79
1999,1,34940,2.06,2.51
1999,1,34980,1.14,1.25
1999,1,35100,1.25,1.35
1999,1,35300,1.14,1.25
1999,1,35380,1.02,1.14
1999,1,35620,.51,1.02
1999,1,35660,1.02,1.14
1999,1,35840,1.61,1.79
1999,1,35980,1.02,1.14
1999,1,36100,1.47,1.61
1999,1,36140,1.79,2.06
1999,1,36220,.51,1.02
1999,1,36260,1.61,1.79
1999,1,36420,.51,1.02
1999,1,36500,1.79,2.06
1999,1,36540,.51,1.02
1999,1,36740,1.35,1.47
1999,1,36780,.51,1.02
1999,1,36980,.51,1.02
1999,1,37100,2.51,
1999,1,37340,1.61,1.79
1999,1,37460,1.47,1.61
1999,1,37620,.51,1.02
1999,1,37860,1.61,1.79
1999,1,37900,.51,1.02
1999,1,37980,1.02,1.14
1999,1,38060,1.25,1.35
1999,1,38220,.51,1.02
1999,1,38300,.51,1.02
1999,1,38340,.51,1.02
1999,1,38540,1.47,1.61
1999,1,38860,1.14,1.25
1999,1,38900,1.35,1.47
1999,1,38940,2.06,2.51
1999,1,39140,2.06,2.51
1999,1,39300,1.25,1.35
1999,1,39340,1.35,1.47
1999,1,39380,1.14,1.25
1999,1,39460,2.51,
1999,1,39540,1.02,1.14
1999,1,39580,1.35,1.47
1999,1,39660,1.25,1.35
1999,1,39740,.51,1.02
1999,1,39820,1.47,1.61
1999,1,39900,1.35,1.47
1999,1,40060,1.14,1.25
1999,1,40140,2.06,2.51
1999,1,40220,1.02,1.14
1999,1,40340,.51,1.02
1999,1,40380,.51,1.02
1999,1,40420,.51,1.02
1999,1,40580,.51,1.02
1999,1,40660,.51,1.02
1999,1,40900,1.47,1.61
1999,1,40980,.51,1.02
1999,1,41060,.51,1.02
1999,1,41100,2.06,2.51
1999,1,41140,.51,1.02
1999,1,41180,.51,1.02
1999,1,41420,1.35,1.47
1999,1,41500,1.61,1.79
1999,1,41540,1.35,1.47
1999,1,41620,1.02,1.14
1999,1,41660,.51,1.02
1999,1,41700,1.02,1.14
1999,1,41740,1.79,2.06
1999,1,41860,1.47,1.61
1999,1,41940,1.02,1.14
1999,1,42020,2.06,2.51
1999,1,42100,1.79,2.06
1999,1,42140,1.79,2.06
1999,1,42200,1.79,2.06
1999,1,42220,2.06,2.51
1999,1,42340,1.25,1.35
1999,1,42540,.51,1.02
1999,1,42660,1.25,1.35
1999,1,42680,1.79,2.06
1999,1,42700,1.61,1.79
1999,1,43100,.51,1.02
1999,1,43300,1.02,1.14
1999,1,43340,.51,1.02
1999,1,43420,1.79,2.06
1999,1,43580,.51,1.02
1999,1,43620,1.02,1.14
1999,1,43780,1.02,1.14
1999,1,43900,1.02,1.14
1999,1,44060,1.61,1.79
1999,1,44100,.51,1.02
1999,1,44140,1.02,1.14
1999,1,44180,1.14,1.25
1999,1,44220,1.02,1.14
1999,1,44300,.51,1.02
1999,1,44420,1.02,1.14
1999,1,44700,1.79,2.06
1999,1,44940,1.35,1.47
1999,1,45060,.51,1.02
1999,1,45220,1.25,1.35
1999,1,45300,1.25,1.35
1999,1,45460,1.02,1.14
1999,1,45500,.51,1.02
1999,1,45540,1.79,2.06
1999,1,45780,.51,1.02
1999,1,45820,.51,1.02
1999,1,45940,.51,1.02
1999,1,46060,1.47,1.61
1999,1,46140,.51,1.02
1999,1,46220,.51,1.02
1999,1,46340,.51,1.02
1999,1,46520,1.79,2.06
1999,1,46540,.51,1.02
1999,1,46660,1.35,1.47
1999,1,46700,2.51,
1999,1,47020,1.14,1.25
1999,1,47220,.51,1.02
1999,1,47260,1.61,1.79
1999,1,47300,1.47,1.61
1999,1,47380,.51,1.02
1999,1,47460,1.02,1.14
1999,1,47580,1.35,1.47
1999,1,47900,1.35,1.47
1999,1,47940,.51,1.02
1999,1,48060,.51,1.02
1999,1,48140,.51,1.02
1999,1,48260,.51,1.02
1999,1,48300,1.61,1.79
1999,1,48540,.51,1.02
1999,1,48620,.51,1.02
1999,1,48660,.51,1.02
1999,1,48700,.51,1.02
1999,1,48900,1.79,2.06
1999,1,49020,1.02,1.14
1999,1,49180,1.14,1.25
1999,1,49340,1.25,1.35
1999,1,49420,1.25,1.35
1999,1,49620,1.02,1.14
1999,1,49660,.51,1.02
1999,1,49700,1.79,2.06
1999,1,49740,1.25,1.35
1999,2,10180,.51,1.02
1999,2,10420,1.02,1.14
1999,2,10500,.51,1.02
1999,2,10540,1.35,1.47
1999,2,10580,.51,1.02
1999,2,10740,1.35,1.47
1999,2,10780,1.02,1.14
1999,2,10900,1.14,1.25
1999,2,11020,.51,1.02
1999,2,11100,.51,1.02
1999,2,11180,.51,1.02
1999,2,11260,1.35,1.47
1999,2,11460,.51,1.02
1999,2,11500,1.02,1.14
1999,2,11540,.51,1.02
1999,2,11700,1.02,1.14
1999,2,12020,1.02,1.14
1999,2,12060,1.14,1.25
1999,2,12100,.51,1.02
1999,2,12220,1.25,1.35
1999,2,12260,1.14,1.25
1999,2,12420,.51,1.02
1999,2,12540,1.35,1.47
1999,2,12580,1.35,1.47
1999,2,12620,.51,1.02
1999,2,12700,1.61,1.79
1999,2,12940,1.02,1.14
1999,2,12980,.51,1.02
1999,2,13020,.51,1.02
1999,2,13140,.51,1.02
1999,2,13220,.51,1.02
1999,2,13380,1.79,2.06
1999,2,13460,1.79,2.06
1999,2,13740,1.02,1.14
1999,2,13780,.51,1.02
1999,2,13820,.51,1.02
1999,2,13900,.51,1.02
1999,2,13980,1.14,1.25
1999,2,14010,.51,1.02
1999,2,14020,1.02,1.14
1999,2,14100,.51,1.02
1999,2,14260,1.35,1.47
1999,2,14460,.51,1.02
1999,2,14500,1.02,1.14
1999,2,14540,1.02,1.14
1999,2,14740,2.06,2.51
1999,2,14860,1.02,1.14
1999,2,15180,.51,1.02
1999,2,15260,1.02,1.14
1999,2,15380,.51,1.02
1999,2,15500,1.14,1.25
1999,2,15540,.51,1.02
1999,2,15680,1.61,1.79
1999,2,15940,1.02,1.14
1999,2,15980,1.79,2.06
1999,2,16020,.51,1.02
1999,2,16060,1.02,1.14
1999,2,16180,.51,1.02
1999,2,16220,.51,1.02
1999,2,16300,.51,1.02
1999,2,16540,1.25,1.35
1999,2,16580,.51,1.02
1999,2,16620,.51,1.02
1999,2,16700,1.47,1.61
1999,2,16740,1.02,1.14
